LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1651512,1651512,144,81.48966217041016,486.2776260622106,161.8247537873572,0.0,42.0,42,3.0,1,,192.97297297297297,255.0,0.0,255.0,7140.0,110.91450323121413,0.9237375472346272,1.670863300777228
ID1652216,1652216,144,74.39955139160156,477.9785648251382,149.60199097649937,0.0,45.0,45,3.0,1,,144.72972972972974,255.0,0.0,255.0,5355.0,128.0730365951503,0.9653720168460457,1.1101456911588024
ID1650108,1650108,144,82.07611846923828,519.7309605751631,163.87072339146957,0.0,26.0,26,3.0,1,,186.0810810810811,255.0,0.0,255.0,6885.0,114.80741806714073,0.9729630982827913,1.5985994996747506
ID1650943,1650943,144,81.19644165039062,497.45755489335465,166.9494208398597,0.0,37.0,37,3.0,1,,199.86486486486487,255.0,0.0,255.0,7395.0,106.4221578228692,0.9028871391076116,1.7821933772527543
ID1650803,1650803,144,80.13988494873047,503.21772585808475,167.29743988647033,0.0,36.0,36,3.0,1,,172.2972972972973,255.0,0.0,255.0,6375.0,121.0176444584437,1.0,1.4237369936287476
ID1649141,1649141,144,82.07611846923828,524.2690391028798,160.87072350833444,0.0,25.0,25,3.0,1,,186.0810810810811,255.0,0.0,255.0,6885.0,114.80741806714073,0.9729630982827913,1.5985994996747506
ID1652917,1652917,144,67.31410217285156,481.44539744271634,153.8688461802992,0.0,51.0,51,3.0,1,,124.05405405405405,0.0,0.0,255.0,4590.0,129.21148597593057,0.8838304552590267,0.9008800817888413
ID1650665,1650665,144,79.93360137939453,505.9187026670928,165.98274447402366,0.0,35.0,35,3.0,1,,172.2972972972973,255.0,0.0,255.0,6375.0,121.0176444584437,0.8882175226586104,1.3394517636059258
ID1651369,1651369,144,70.3604736328125,478.51137080588904,148.87600272703187,0.0,44.0,44,3.0,1,,137.83783783783784,255.0,0.0,255.0,5100.0,128.833120636632,1.0,1.069894427432238
ID1652074,1652074,144,63.27398681640625,482.61263923958717,154.1264304243163,0.0,43.0,43,3.0,1,,117.16216216216216,0.0,0.0,255.0,4335.0,128.833120636632,0.9573978123200921,0.8896172164099059
ID1649967,1649967,144,80.29920959472656,512.1441040099762,165.1968432015115,0.0,32.0,32,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9696347968814114,1.3195833069382559
ID1649829,1649829,144,80.62322235107422,516.1514223922242,159.72158882598004,0.0,27.0,27,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9696347968814114,1.3195833069382559
ID1648292,1648292,144,76.44094848632812,516.4529876251365,156.69150622512427,0.0,22.0,22,3.0,1,,158.51351351351352,255.0,0.0,255.0,5865.0,125.37646013808482,0.9376579612468409,1.2236229460023818
ID1651224,1651224,145,80.75727081298828,921.4169498243751,124.99562635299462,0.0,38.0,38,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.918111398008115,1.4517514497262503
ID1652632,1652632,145,78.5610580444336,925.4830209612261,130.2357766963101,0.0,48.0,48,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9446522064323112,1.47333232704239
ID1651931,1651931,145,81.70992279052734,922.7685256784578,126.97325964364995,0.0,47.0,47,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9696347968814114,1.3195833069382559
ID1653210,1653210,145,76.88298797607422,920.475784707465,140.38554246124463,0.0,53.0,53,3.0,1,,172.2972972972973,255.0,0.0,255.0,6375.0,121.0176444584437,0.9425019425019425,1.3815943786173366
ID1649552,1649552,145,81.70992279052734,918.6411570554741,128.13073257656225,0.0,29.0,29,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9719378081152824,1.4949132043585291
ID1649687,1649687,145,78.45903778076172,915.0944378981671,127.63529717418126,0.0,33.0,33,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9401778496362168,1.2989211899866202
ID1648854,1648854,145,78.53201293945312,926.4427284034584,124.17501798867036,0.0,23.0,23,3.0,1,,172.2972972972973,255.0,0.0,255.0,6375.0,121.0176444584437,0.9149751053236307,1.3605230711116312
ID1650518,1650518,145,77.44037628173828,915.5383577867868,123.01355157111503,0.0,28.0,28,3.0,1,,158.51351351351352,255.0,0.0,255.0,5865.0,125.37646013808482,0.9683354728284124,1.2439616921848111
ID1651081,1651081,145,79.37242126464844,918.5498140811675,130.1503182136638,0.0,41.0,41,3.0,1,,172.2972972972973,255.0,0.0,255.0,6375.0,121.0176444584437,0.9425019425019425,1.3815943786173366
ID1649416,1649416,145,81.70991516113281,919.0267404340352,128.23147422306081,0.0,30.0,30,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9696347968814114,1.3195833069382559
ID1652490,1652490,145,79.29945373535156,926.718757655924,130.2809769432257,0.0,49.0,49,3.0,1,,158.51351351351352,255.0,0.0,255.0,5865.0,125.37646013808482,0.9683354728284124,1.2439616921848111
