LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),( ),( ),( ),(frame),,( ),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID69558,69558,1,55.70342254638672,71.60667572903151,539.7176746630415,0.0,7.0,7,4.5,1,,62402.09278350513,62394.0,62127.0,62721.0,6053003.0,116.86754276336264,5.26150438413704E-4,0.5615865918947809
ID69595,69595,1,47.83026885986328,70.9915479486512,535.830673138801,0.0,9.0,9,4.5,1,,62407.96907216495,62401.0,62216.0,62587.0,6053573.0,83.05525941708021,4.0975429031163955E-4,0.6155289704421013
ID69420,69420,1,56.625267028808594,68.79828632960944,538.5052336200775,0.0,6.0,6,4.5,1,,62406.381443298975,62391.0,62133.0,62709.0,6053419.0,114.73869255281116,4.950376358449975E-4,0.5382355500569255
ID69711,69711,1,52.00751876831055,74.9813579462997,530.4606824847253,0.0,11.0,11,4.5,1,,62410.50515463917,62406.0,62188.0,62682.0,6053819.0,102.65578849072719,5.478174844577735E-4,0.6657363808265123
ID69455,69455,1,54.53496551513672,65.75832212767034,539.9337609566376,0.0,5.0,5,4.5,1,,62415.556701030924,62408.0,62197.0,62702.0,6054309.0,106.17251773569639,4.8615405153309635E-4,0.5713122742401667
ID72449,72449,2,48.3140754699707,113.82364019244373,550.8600797309873,0.0,88.0,88,4.5,1,,62409.53608247423,62408.0,62119.0,62637.0,6053725.0,93.38195108616969,0.003916561225446512,5.214651718463796
ID69635,69635,2,55.77447509765625,88.49514490129977,622.9461049437459,0.0,8.0,8,4.5,1,,62447.8969072165,62455.0,62175.0,62680.0,6057446.0,103.08496541446634,7.031011435412736E-4,0.851265517667326
ID70019,70019,2,52.026756286621094,90.59993309757208,603.9153074533706,0.0,21.0,21,4.5,1,,62412.03092783503,62397.0,62245.0,62632.0,6053967.0,88.77129481710377,5.960177697202668E-4,0.8375797984341627
ID72069,72069,2,51.68122482299805,110.60854674165321,563.9921530300019,0.0,79.0,79,4.5,1,,62412.62886597939,62413.0,62244.0,62728.0,6054025.0,92.3150537998847,5.484439781024926E-4,0.7411806893216036
ID71172,71172,2,62.37263107299805,100.83756043232846,552.3834855726681,0.0,53.0,53,4.5,1,,62437.74226804122,62414.0,62200.0,62795.0,6056461.0,119.70069255843542,7.51866797568175E-4,0.7837815230044842
ID72324,72324,2,45.41347122192383,114.4338807968843,549.9502519429349,0.0,86.0,86,4.5,1,,62399.01030927837,62403.0,62176.0,62581.0,6052704.0,83.17019383536191,0.0037816865397752694,5.653094473426852
ID70278,70278,2,57.99176788330078,106.7923734014783,587.7422261659051,0.0,29.0,29,4.5,1,,62444.03092783505,62437.0,62254.0,62748.0,6057071.0,110.66197156282652,6.346795220260155E-4,0.7158160931352083
ID70408,70408,2,57.439483642578125,104.22777992933827,581.9299917118494,0.0,32.0,32,4.5,1,,62422.20618556702,62413.0,62190.0,62652.0,6054954.0,101.84403293602202,7.09573664662675E-4,0.8692064788413582
ID70664,70664,2,52.259361267089844,112.63017368449958,565.7707509532976,0.0,40.0,40,4.5,1,,62395.86597938144,62390.0,62076.0,62719.0,6052399.0,110.33071769929364,0.0012775298222247862,1.443131631266657
ID69386,69386,2,55.69670486450195,91.62283519576688,633.4375989250026,0.0,4.0,4,4.5,1,,62429.50515463918,62408.0,62250.0,62681.0,6055662.0,105.86254095438856,5.408278686775981E-4,0.6375317553669309
ID70157,70157,2,46.687232971191406,95.14828597166728,593.0923094459225,0.0,25.0,25,4.5,1,,62410.47422680413,62410.0,62122.0,62634.0,6053816.0,92.73844186558438,4.278971874991862E-4,0.5756802386217725
ID70540,70540,2,55.49567794799805,104.59767554545395,576.6253383844503,0.0,36.0,36,4.5,1,,62416.03092783506,62421.0,62154.0,62683.0,6054355.0,114.04864218176895,6.351957950487038E-4,0.6948128866830791
ID70796,70796,2,55.81626510620117,109.91725890151397,555.9164295357009,0.0,45.0,45,4.5,1,,62420.39175257732,62408.0,62212.0,62651.0,6054778.0,107.28006151162546,5.17522093124544E-4,0.6019240106235283
ID71055,71055,2,57.660728454589844,103.64269746982617,555.5627058248177,0.0,51.0,51,4.5,1,,62413.41237113403,62408.0,62089.0,62735.0,6054101.0,116.80028829314084,6.73183843569226E-4,0.718961163205968
ID71694,71694,2,49.594696044921875,109.09578477320578,559.546171516583,0.0,67.0,67,4.5,1,,62399.64948453609,62391.0,62089.0,62726.0,6052766.0,101.76136722306039,4.6141843138429136E-4,0.5656187603697935
ID71827,71827,2,45.157352447509766,114.39663725787095,562.4343489124066,0.0,72.0,72,4.5,1,,62399.88659793815,62381.0,62222.0,62590.0,6052789.0,90.98109651284932,0.0037930554227924643,5.1833153412936355
ID71314,71314,2,58.744956970214844,96.61243137619088,555.9234231837131,0.0,57.0,57,4.5,1,,62425.80412371134,62416.0,62106.0,62756.0,6055303.0,118.78768166839187,5.325406065127139E-4,0.5594280588655051
ID69525,69525,2,54.656898498535156,91.7741078196792,635.9506043335446,0.0,3.0,3,4.5,1,,62453.50515463916,62451.0,62142.0,62676.0,6057990.0,99.5593545445107,6.747285619633663E-4,0.8459426156218477
ID70934,70934,2,62.98583984375,111.30114707054253,553.7033590909082,0.0,48.0,48,4.5,1,,62437.56701030929,62434.0,62132.0,62740.0,6056444.0,128.34036024185966,7.334210771361001E-4,0.7130955002288092
ID69785,69785,2,50.62279510498047,90.89049674348139,612.7502202128592,0.0,13.0,13,4.5,1,,62420.855670103105,62415.0,62202.0,62624.0,6054823.0,85.84688279269889,5.106754370117371E-4,0.7422640478671763
